month,pm25,co,o3,so2,no2
2010-01-01,14042,9965,21468,13478,11340
2010-02-01,13665,9165,19734,12219,10325
2010-03-01,14638,10129,26502,13594,11438
2010-04-01,14369,9172,36752,13120,11200
2010-05-01,14853,9436,39565,13502,11682
2010-06-01,14616,9133,38563,12953,11398
2010-07-01,15823,9266,40036,13222,11871
2010-08-01,15264,9157,40085,13267,11888
2010-09-01,15234,9149,38616,12992,11343
2010-10-01,15760,9585,34190,13357,11312
2010-11-01,15461,9153,21470,12769,10753
2010-12-01,16103,9560,21564,13391,11033
2011-01-01,14558,9907,21577,13635,11027
2011-02-01,13485,9137,19716,12317,9928
2011-03-01,15809,10130,28379,13634,10995
2011-04-01,15044,9160,37012,13289,11002
2011-05-01,15223,9400,39430,13523,11268
2011-06-01,14652,8967,38373,13087,10776
2011-07-01,14958,9043,39688,13363,11158
2011-08-01,15422,9240,39795,13198,11206
2011-09-01,14628,9178,38590,13058,10838
2011-10-01,15162,9827,34909,13567,11245
2011-11-01,15093,9488,23406,13065,10825
2011-12-01,15589,9741,22997,13503,11238
2012-01-01,16252,9736,22983,13546,10945
2012-02-01,14862,9020,21796,12698,10451
2012-03-01,16598,9742,27878,13521,11348
2012-04-01,15505,8921,36667,13160,10913
2012-05-01,16102,9157,39305,13399,11329
2012-06-01,15807,8843,38149,13029,10989
2012-07-01,15635,9071,39471,13558,11363
2012-08-01,16627,9021,39744,13616,11605
2012-09-01,15455,8987,38428,13114,11083
2012-10-01,15724,9626,34789,13580,11547
2012-11-01,15802,9420,23639,13202,11165
2012-12-01,16632,9742,23590,13664,11458
2013-01-01,17842,9341,23377,13769,11311
2013-02-01,15980,8506,21350,12427,10261
2013-03-01,17700,9394,28099,13657,11560
2013-04-01,17498,8701,37071,13321,11311
2013-05-01,18360,8848,39461,13615,11683
2013-06-01,17366,8544,38391,13220,11408
2013-07-01,17842,8979,39551,13620,11849
2013-08-01,17799,9031,39824,13668,12097
2013-09-01,17357,8968,38541,13331,11551
2013-10-01,18718,9413,35795,13841,12090
2013-11-01,17658,9192,23844,13425,11692
2013-12-01,17934,9443,24069,13869,11994
2014-01-01,18452,9197,23838,13580,12230
2014-02-01,17655,8367,21618,12374,11153
2014-03-01,19134,9265,27943,13669,12339
2014-04-01,18888,8819,37190,13331,12266
2014-05-01,19047,9008,39668,13710,12612
2014-06-01,18438,8751,38385,13122,12268
2014-07-01,19565,8784,39267,13504,12739
2014-08-01,19469,8973,39525,13613,12877
2014-09-01,18652,8879,38312,13349,12510
2014-10-01,19027,9202,35357,13663,12993
2014-11-01,18858,8911,23711,13148,12503
2014-12-01,20248,9316,23799,13688,12905
2015-01-01,19994,9072,23515,13637,12931
2015-02-01,18117,8270,21441,12292,11770
2015-03-01,21185,9137,27735,13661,13005
2015-04-01,19863,8542,36566,13081,12703
2015-05-01,20419,8846,38843,13568,13061
2015-06-01,19888,8638,37783,13167,12673
2015-07-01,20565,8820,38883,13575,13104
2015-08-01,21176,8834,39339,13619,13265
2015-09-01,20154,8780,38186,13201,12830
2015-10-01,20402,9233,35420,13737,13219
2015-11-01,19955,8906,24182,13300,12955
2015-12-01,20750,9207,24511,13813,13424
2016-01-01,21788,9120,24221,13810,13271
2016-02-01,19991,8576,23020,12909,12472
2016-03-01,22335,9208,28377,13697,13345
2016-04-01,20793,8620,36708,13367,13000
2016-05-01,21547,8929,39180,13746,13353
2016-06-01,21124,8469,37882,13213,13013
2016-07-01,21765,8660,39889,13534,13510
2016-08-01,22231,8725,40040,13487,13366
2016-09-01,21105,8487,38709,13045,12968
2016-10-01,21695,8791,35823,13377,13127
2016-11-01,21342,8572,24331,13197,12791
2016-12-01,21911,9033,24772,13744,13391
2017-01-01,23195,8995,24870,15016,13267
2017-02-01,20405,8152,23293,13772,12054
2017-03-01,22701,8980,38053,15223,13242
2017-04-01,22434,8486,37657,14714,12845
2017-05-01,23569,8826,39685,15218,13286
2017-06-01,22570,8516,38511,14754,12845
2017-07-01,23085,8570,39494,14955,13113
2017-08-01,23184,8536,39181,14883,13032
2017-09-01,22541,8087,37410,14237,12532
2017-10-01,23660,8532,37230,14662,13114
2017-11-01,22897,8264,24279,14284,12607
2017-12-01,23665,8529,24581,14755,12884
2018-01-01,24235,8344,25738,14258,12790
2018-02-01,22910,7553,24105,12914,11693
2018-03-01,24693,8466,37695,14274,13016
2018-04-01,24143,8163,37067,13857,12676
2018-05-01,24599,8458,39049,14367,13143
2018-06-01,24043,8196,38059,13938,12811
2018-07-01,25457,8419,39262,14382,13059
2018-08-01,25046,8362,39425,14258,13253
2018-09-01,23977,8122,37654,13673,12852
2018-10-01,24743,8338,36706,14147,13080
2018-11-01,24531,8128,25179,13883,12838
2018-12-01,26045,8302,25479,14284,13305
2019-01-01,25904,8017,24534,14224,13173
2019-02-01,23695,7287,22722,12872,11974
2019-03-01,26508,8071,36336,14410,13310
2019-04-01,25710,7840,36256,13879,12757
2019-05-01,25942,8029,37830,14243,13243
2019-06-01,25326,7801,36660,13801,12745
2019-07-01,26078,7927,38040,14124,13074
2019-08-01,26896,8035,38083,14367,13210
2019-09-01,25485,7645,36903,13814,12806
2019-10-01,26119,7772,36517,14287,13253
2019-11-01,25691,7628,24397,13930,12790
2019-12-01,26289,7978,24102,14447,13316
2020-01-01,26881,7745,24197,13999,13343
2020-02-01,24880,7123,23843,13187,12545
2020-03-01,26415,7672,36152,14098,13416
2020-04-01,24530,7472,35932,13604,13060
2020-05-01,25498,7657,37758,13894,13461
2020-06-01,25261,7418,36683,13208,13151
2020-07-01,26212,7680,37847,13497,13325
2020-08-01,27026,7563,37806,13415,13332
2020-09-01,25961,7321,36549,13118,12970
2020-10-01,26643,7594,36186,13522,13393
2020-11-01,25873,7266,24283,12910,13035
2020-12-01,26994,7490,24658,13421,13453
2021-01-01,27524,7454,24728,12898,13283
2021-02-01,24259,6728,23198,11687,12177
2021-03-01,26639,7321,36043,12759,13423
2021-04-01,26754,7179,36421,12452,13067
2021-05-01,27780,7465,38104,12950,13510
2021-06-01,26691,7204,36831,12548,13227
2021-07-01,27722,7429,38141,12975,13670
2021-08-01,27975,7326,38113,12985,13669
2021-09-01,27215,7074,36961,12542,12979
2021-10-01,28316,7132,36166,12614,13365
2021-11-01,26984,6964,22816,12259,12929
2021-12-01,27913,7209,22976,12632,13227
2022-01-01,15916,3923,13549,7789,7356
2022-02-01,11710,3092,10425,5534,5006
2022-03-01,10993,3144,15541,5729,4917
2022-04-01,3028,1101,4290,1333,1484
2022-05-01,237,65,124,31,0
2022-06-01,0,1,0,0,0
2022-07-01,0,0,0,0,0
2022-08-01,0,0,0,0,0
2022-09-01,0,0,0,0,0
2022-10-01,0,0,0,0,0
2022-11-01,0,0,0,0,0
2022-12-01,0,0,0,0,0
2023-01-01,12902,2405,10968,4779,5364
2023-02-01,8669,1960,7508,3697,3558
2023-03-01,6185,1525,9936,2796,3143
2023-04-01,551,251,1622,327,502
2023-05-01,0,7,0,0,0
2023-06-01,0,0,0,0,0
2023-07-01,0,0,0,0,0
2023-08-01,0,0,0,0,0
2023-09-01,0,0,0,0,0
2023-10-01,0,0,0,0,0
2023-11-01,0,0,0,0,0
2023-12-01,0,0,0,0,0
2024-01-01,31649,6512,21499,11220,12631
2024-02-01,29308,6009,21070,10520,11594
2024-03-01,30936,5886,32403,10927,11797
2024-04-01,16389,3407,18216,5549,6527
2024-05-01,13954,2866,15808,4772,5471
2024-06-01,9151,1921,10616,3724,3784
2024-07-01,1941,272,1924,279,589
2024-08-01,0,7,0,0,0
2024-09-01,0,0,0,0,0
2024-10-01,0,0,0,0,0
2024-11-01,0,0,0,0,0
2024-12-01,0,0,0,0,0